Material,Amperage,Feed Rate,Pierce height,Cut height,Pierce delay,Anti-dive Velocity,Anti-dive delay,Torch voltage threshold,THC velocity,Kerf Width
,,,,,,,,,,
Mild Steel 26 GA FineCut 45A,45.0,350.0,0.14,0.14,0.0,65.0,50.0,90.0,15.0,0.033
Mild Steel 24 GA FineCut 45A,45.0,350.0,0.14,0.14,0.0,65.0,50.0,90.0,15.0,0.032
Mild Steel 22 GA FineCut 45A,45.0,350.0,0.14,0.14,0.0,65.0,50.0,90.0,15.0,0.026
Mild Steel 20 GA FineCut 45A,45.0,350.0,0.14,0.14,0.0,65.0,50.0,90.0,15.0,0.024
Mild Steel 18 GA FineCut 45A,45.0,250.0,0.14,0.14,200.0,65.0,50.0,89.0,15.0,0.021
Mild Steel 16 GA FineCut 45A,45.0,250.0,0.14,0.14,200.0,65.0,50.0,88.0,15.0,0.021
Mild Steel 14 GA FineCut 45A,45.0,220.0,0.14,0.14,300.0,65.0,50.0,88.0,15.0,0.021
Mild Steel 12 GA FineCut 45A,45.0,115.0,0.14,0.14,400.0,65.0,50.0,91.0,15.0,0.032
Mild Steel 10 GA FineCut 45A,45.0,100.0,0.14,0.14,500.0,65.0,50.0,89.0,15.0,0.031
,,,,,,,,,,
Mild Steel 10 GA 45A,45.0,115.0,0.15,0.125,400.0,65.0,50.0,141.0,15.0,0.073
Mild Steel 3/16 in 45A,45.0,68.0,0.15,0.125,500.0,65.0,50.0,142.0,15.0,0.074
Mild Steel 1/4 in 45A,45.0,46.0,0.15,0.125,600.0,65.0,50.0,141.0,15.0,0.075
,,,,,,,,,,
Mild Steel 10 GA 65A,65.0,186.0,0.15,0.125,100.0,65.0,50.0,132.0,15.0,0.053
Mild Steel 3/16 in 65A,65.0,138.0,0.15,0.125,200.0,65.0,50.0,133.0,15.0,0.057
Mild Steel 1/4 in 65A,65.0,93.0,0.15,0.125,500.0,65.0,50.0,133.0,15.0,0.062
Mild Steel 3/8 in 65A,65.0,44.0,0.15,0.125,700.0,65.0,50.0,136.0,15.0,0.072
Mild Steel 1/2 in 65A,65.0,30.0,0.15,0.125,1200.0,65.0,50.0,140.0,15.0,0.081
Mild Steel 5/8 in 65A,65.0,22.0,0.25,0.125,2000.0,65.0,50.0,145.0,15.0,0.089
Mild Steel 3/4 in 65A,65.0,16.0,0.25,0.125,2000.0,65.0,50.0,150.0,15.0,0.097
,,,,,,,,,,
Mild Steel 10 GA 85A,85.0,250.0,0.15,0.125,200.0,65.0,50.0,134.0,15.0,0.063
Mild Steel 3/16 in 85A,85.0,185.0,0.15,0.125,500.0,65.0,50.0,134.0,15.0,0.07
Mild Steel 1/4 in 85A,85.0,130.0,0.125,0.125,500.0,65.0,50.0,135.0,15.0,0.077
Mild Steel 3/8 in 85A,85.0,70.0,0.188,0.125,1000.0,65.0,50.0,136.0,15.0,0.088
Mild Steel 1/2 in 85A,85.0,46.0,0.15,0.125,1000.0,65.0,50.0,139.0,15.0,0.096
Mild Steel 5/8 in 85A,85.0,34.0,0.2,0.125,1000.0,65.0,50.0,142.0,15.0,0.103
Mild Steel 3/4 in 85A,85.0,25.0,0.25,0.125,1500.0,65.0,50.0,146.0,15.0,0.108
Mild Steel 7/8 in 85A,85.0,19.0,0.2,0.125,1500.0,65.0,50.0,150.0,15.0,0.114
Mild Steel 1 in 85A,85.0,13.0,0.25,0.125,1500.0,65.0,50.0,153.0,15.0,0.12
Mild Steel 1-1/8 in 85A,85.0,9.0,0.2,0.125,1500.0,65.0,50.0,157.0,15.0,0.128
Mild Steel 1-1/4 in 85A,85.0,6.0,0.25,0.125,1500.0,65.0,50.0,161.0,15.0,0.139
,,,,,,,,,,
,,,,,,,,,,
Stainless Steel 26 GA FineCut 45A,45.0,350.0,0.02,0.14,0.0,65.0,50.0,64.0,15.0,0.028
Stainless Steel 24 GA FineCut 45A,45.0,350.0,0.14,0.14,0.0,65.0,50.0,65.0,15.0,0.024
Stainless Steel 22 GA FineCut 45A,45.0,350.0,0.14,0.14,0.0,65.0,50.0,65.0,15.0,0.02
Stainless Steel 20 GA FineCut 45A,45.0,350.0,0.14,0.14,100.0,65.0,50.0,65.0,15.0,0.016
Stainless Steel 18 GA FineCut 45A,45.0,240.0,0.14,0.14,200.0,65.0,50.0,62.0,15.0,0.017
Stainless Steel 16 GA FineCut 45A,45.0,240.0,0.14,0.14,300.0,65.0,50.0,64.0,15.0,0.017
Stainless Steel 14 GA FineCut 45A,45.0,50.0,0.14,0.14,400.0,65.0,50.0,65.0,15.0,0.017
Stainless Steel 12 GA FineCut 45A,45.0,120.0,0.14,0.14,500.0,65.0,50.0,71.0,15.0,0.026
Stainless Steel 10 GA FineCut 45A,45.0,75.0,0.14,0.14,600.0,65.0,50.0,71.0,15.0,0.023
,,,,,,,,,,
Stainless Steel 10 GA 45A,45.0,94.0,0.15,0.15,400.0,65.0,50.0,141.0,15.0,0.072
Stainless Steel 3/16 in 45A,45.0,55.0,0.15,0.15,500.0,65.0,50.0,139.0,15.0,0.102
Stainless Steel 1/4 in 45A,45.0,30.0,0.15,0.15,600.0,65.0,50.0,144.0,15.0,0.082
,,,,,,,,,,
Stainless Steel 10 GA 65A,65.0,241.0,0.15,0.15,100.0,65.0,50.0,132.0,15.0,0.047
Stainless Steel 3/16 in 65A,65.0,150.0,0.15,0.15,200.0,65.0,50.0,133.0,15.0,0.055
Stainless Steel 1/4 in 65A,65.0,86.0,0.15,0.15,500.0,65.0,50.0,134.0,15.0,0.064
Stainless Steel 3/8 in 65A,65.0,40.0,0.188,0.15,700.0,65.0,50.0,136.0,15.0,0.075
Stainless Steel 1/2 in 65A,65.0,27.0,0.188,0.15,1200.0,65.0,50.0,140.0,15.0,0.082
Stainless Steel 5/8 in 65A,65.0,19.0,0.188,0.15,0.0,65.0,50.0,144.0,15.0,0.087
Stainless Steel 3/4 in 65A,65.0,14.0,0.188,0.15,0.0,65.0,50.0,148.0,15.0,0.096
,,,,,,,,,,
Stainless Steel 10 GA 85A,85.0,275.0,0.15,0.15,200.0,65.0,50.0,133.0,15.0,0.06
Stainless Steel 3/16 in 85A,85.0,199.0,0.15,0.15,500.0,65.0,50.0,134.0,15.0,0.071
Stainless Steel 1/4 in 85A,85.0,131.0,0.15,0.15,500.0,65.0,50.0,135.0,15.0,0.082
Stainless Steel 3/8 in 85A,85.0,65.0,0.188,0.15,188.0,65.0,50.0,139.0,15.0,0.094
Stainless Steel 1/2 in 85A,85.0,36.0,0.188,0.15,188.0,65.0,50.0,142.0,15.0,0.098
Stainless Steel 5/8 in 85A,85.0,27.0,1.0,0.15,1000.0,65.0,50.0,146.0,15.0,0.098
Stainless Steel 3/4 in 85A,85.0,21.0,0.15,0.15,0.0,65.0,50.0,150.0,15.0,0.102
Stainless Steel 7/8 in 85A,85.0,16.0,0.15,0.15,500.0,65.0,50.0,153.0,15.0,0.114
Stainless Steel 1 in 85A,85.0,11.0,0.15,0.15,500.0,65.0,50.0,155.0,15.0,0.141
,,,,,,,,,,
,,,,,,,,,,
Aluminum 1/32 in FineCut 45A,45.0,325.0,0.14,0.14,0.0,65.0,50.0,129.0,15.0,0.062
Aluminum 1/16 in FineCut 45A,45.0,325.0,0.14,0.14,0.0,65.0,50.0,137.0,15.0,0.069
Aluminum 3/32 in FineCut 45A,45.0,183.0,0.14,0.14,100.0,65.0,50.0,143.0,15.0,0.073
Aluminum 1/8 in FineCut 45A,45.0,121.0,0.14,0.14,200.0,65.0,50.0,147.0,15.0,0.074
Aluminum 1/4 in FineCut 45A,45.0,46.0,0.14,0.14,200.0,65.0,50.0,150.0,15.0,0.081
,,,,,,,,,,
Aluminum 1/32 in 45A,45.0,325.0,0.15,0.15,0.0,65.0,50.0,129.0,15.0,0.062
Aluminum 1/16 in 45A,45.0,325.0,0.15,0.15,0.0,65.0,50.0,137.0,15.0,0.069
Aluminum 3/32 in 45A,45.0,183.0,0.15,0.15,100.0,65.0,50.0,143.0,15.0,0.073
Aluminum 1/8 in 45A,45.0,121.0,0.15,0.15,200.0,65.0,50.0,147.0,15.0,0.074
Aluminum 1/4 in 45A,45.0,46.0,0.15,0.15,200.0,65.0,50.0,150.0,15.0,0.081
,,,,,,,,,,
Aluminum 1/16 in 65A,65.0,365.0,0.15,0.15,100.0,65.0,50.0,134.0,15.0,0.056
Aluminum 1/8 in 65A,65.0,280.0,0.15,0.15,100.0,65.0,50.0,134.0,15.0,0.059
Aluminum 1/4 in 65A,65.0,104.0,0.15,0.15,500.0,65.0,50.0,137.0,15.0,0.064
Aluminum 3/8 in 65A,65.0,52.0,0.188,0.15,700.0,65.0,50.0,141.0,15.0,0.069
Aluminum 1/2 in 65A,65.0,34.0,0.188,0.15,1200.0,65.0,50.0,146.0,15.0,0.076
Aluminum 5/8 in 65A,65.0,25.0,0.188,0.15,0.0,65.0,50.0,151.0,15.0,0.083
Aluminum 3/4 in 65A,65.0,17.0,0.188,0.15,0.0,65.0,50.0,155.0,15.0,0.092
,,,,,,,,,,
Aluminum 1/8 in 85A,85.0,300.0,0.15,0.125,200.0,65.0,50.0,137.0,15.0,0.076
Aluminum 1/4 in 85A,85.0,133.0,0.15,0.125,500.0,65.0,50.0,140.0,15.0,0.089
Aluminum 3/8 in 85A,85.0,75.0,0.15,0.125,188.0,65.0,50.0,144.0,15.0,0.097
Aluminum 1/2 in 85A,85.0,51.0,0.15,0.125,188.0,65.0,50.0,149.0,15.0,0.102
Aluminum 5/8 in 85A,85.0,38.0,0.15,0.125,1000.0,65.0,50.0,153.0,15.0,0.106
Aluminum 3/4 in 85A,85.0,26.0,0.15,0.125,0.0,65.0,50.0,157.0,15.0,0.109
Aluminum 7/8 in 85A,85.0,19.0,0.15,0.125,0.0,65.0,50.0,160.0,15.0,0.113
Aluminum 1 in 85A,85.0,15.0,0.15,0.125,0.0,65.0,50.0,162.0,15.0,0.119
